State,Participation,Composite
Alabama,100,18.8
Arkansas,100,19
Kentucky,100,19.5
Louisiana,100,18.7
Mississippi,100,18.2
Montana,100,19.9
Nebraska,100,19.9
Nevada,100,17.9
North Carolina,100,18.8
Ohio,100,19.9
Oklahoma,100,18.7
Tennessee,100,19.3
Utah,100,20.2
Wisconsin,100,20.1
Wyoming,100,19.7
North Dakota,94,19.6
Minnesota,92,21.3
Hawaii,82,18.5
Kansas,82,20.4
Missouri,78,20.7
South Carolina,76,18.4
Arizona,71,19.1
South Dakota,70,21.7
Iowa,68,21.1
New Mexico,56,19.3
Florida,46,20.6
Georgia,43,21.7
Oregon,42,21
Texas,38,20.2
West Virginia,38,20.9
Alaska,33,20.1
District of Columbia,33,23.1
Illinois,31,24.7
Idaho,28,22.7
Colorado,25,23.7
Indiana,25,22.6
New Jersey,23,24.4
Vermont,23,23.3
New York,20,24.9
Washington,20,22.9
California,19,23.3
Connecticut,19,25.9
Maryland,19,23.8
Virginia,19,24.4
Massachusetts,18,26
Michigan,17,24.6
Pennsylvania,15,23.7
New Hampshire,12,25.7
Delaware,11,24.2
Rhode Island,11,24.8
Maine,5,24.9
National,49,20.6
