State,EBRW,Math,Total,Participation
Alabama,576,551,1127,7
Alaska,555,543,1098,37
Arizona,571,568,1139,29
Arkansas,590,567,1157,4
California,527,522,1049,67
Colorado,511,501,1012,100
Connecticut,527,512,1039,100
Delaware,497,481,978,100
District of Columbia,498,482,979,100
Florida,512,479,992,100
Georgia,537,516,1053,68
Hawaii,549,546,1095,51
Idaho,500,484,984,100
Illinois,504,503,1007,98
Indiana,540,534,1074,64
Iowa,611,609,1220,3
Kansas,617,620,1237,4
Kentucky,609,598,1207,4
Louisiana,597,573,1170,5
Maine,504,491,995,98
Maryland,522,507,1029,88
Massachusetts,560,559,1119,80
Michigan,503,495,998,100
Minnesota,624,633,1257,4
Mississippi,610,593,1203,3
Missouri,610,603,1212,4
Montana,598,587,1185,10
Nebraska,615,614,1229,3
Nevada,579,571,1150,17
New Hampshire,531,524,1055,93
New Jersey,541,540,1081,82
New Mexico,533,522,1055,19
New York,528,530,1058,79
North Carolina,553,544,1096,48
North Dakota,615,617,1231,2
Ohio,536,534,1070,21
Oklahoma,490,481,971,20
Oregon,557,547,1104,51
Pennsylvania,543,534,1078,67
Rhode Island,501,489,990,100
South Carolina,524,503,1026,68
South Dakota,609,610,1218,3
Tennessee,601,585,1186,7
Texas,510,500,1010,73
Utah,601,603,1204,3
Vermont,559,545,1103,63
Virginia,567,549,1116,65
Washington,539,534,1073,69
West Virginia,480,456,936,98
Wisconsin,615,628,1243,3
Wyoming,614,606,1220,2
United States,528,523,1051,60
